




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.12173881 Released 2024-06-17
Analyzed List:	upload_1 (Drosophila melanogaster)
Reference List:	Drosophila melanogaster (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Drosophila melanogaster - REFLIST (13821)	upload_1 (1920)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
stem cell fate commitment (GO:0048865)	6	6	.83	+	7.20	7.14E-06	5.74E-05
cardiac cell fate specification (GO:0060912)	4	4	.56	+	7.20	3.71E-04	1.99E-03
negative regulation of fibroblast growth factor receptor signaling pathway (GO:0040037)	4	4	.56	+	7.20	3.71E-04	1.99E-03
regulation of cytokinesis, actomyosin contractile ring assembly (GO:2000431)	3	3	.42	+	7.20	2.68E-03	1.14E-02
ectodermal cell differentiation (GO:0010668)	3	3	.42	+	7.20	2.68E-03	1.14E-02
G2/MI transition of meiotic cell cycle (GO:0008315)	3	3	.42	+	7.20	2.68E-03	1.14E-02
embryonic heart tube anterior/posterior pattern specification (GO:0035054)	3	3	.42	+	7.20	2.68E-03	1.14E-02
DNA recombinase assembly (GO:0000730)	3	3	.42	+	7.20	2.68E-03	1.14E-02
ectodermal placode formation (GO:0060788)	4	4	.56	+	7.20	3.71E-04	1.99E-03
polarity specification of anterior/posterior axis (GO:0009949)	5	5	.69	+	7.20	5.15E-05	3.41E-04
positive regulation of muscle organ development (GO:0048636)	6	6	.83	+	7.20	7.14E-06	5.73E-05
myoblast fate specification (GO:0048626)	3	3	.42	+	7.20	2.68E-03	1.14E-02
myoblast fate commitment (GO:0048625)	3	3	.42	+	7.20	2.68E-03	1.14E-02
embryonic foregut morphogenesis (GO:0048617)	3	3	.42	+	7.20	2.68E-03	1.14E-02
axon ensheathment in central nervous system (GO:0032291)	3	3	.42	+	7.20	2.68E-03	1.14E-02
regulation of DNA biosynthetic process (GO:2000278)	3	3	.42	+	7.20	2.68E-03	1.14E-02
photoreceptor cell fate determination (GO:0043703)	6	6	.83	+	7.20	7.14E-06	5.73E-05
regulation of asymmetric cell division (GO:0009786)	3	3	.42	+	7.20	2.68E-03	1.14E-02
ERK1 and ERK2 cascade (GO:0070371)	3	3	.42	+	7.20	2.68E-03	1.14E-02
regulation of cell-cell adhesion mediated by cadherin (GO:2000047)	3	3	.42	+	7.20	2.68E-03	1.14E-02
regulation of muscle cell differentiation (GO:0051147)	3	3	.42	+	7.20	2.68E-03	1.14E-02
wing disc proximal/distal pattern formation (GO:0007473)	3	3	.42	+	7.20	2.68E-03	1.14E-02
positive regulation of mRNA processing (GO:0050685)	5	5	.69	+	7.20	5.15E-05	3.41E-04
circadian regulation of heart rate (GO:0003053)	3	3	.42	+	7.20	2.68E-03	1.13E-02
phosphatidylinositol 3-kinase/protein kinase B signal transduction (GO:0043491)	6	6	.83	+	7.20	7.14E-06	5.72E-05
microtubule sliding (GO:0051012)	7	7	.97	+	7.20	9.89E-07	9.20E-06
positive regulation of SMAD protein signal transduction (GO:0060391)	6	6	.83	+	7.20	7.14E-06	5.71E-05
regulation of SMAD protein signal transduction (GO:0060390)	7	7	.97	+	7.20	9.89E-07	9.19E-06
positive regulation of Golgi to plasma membrane protein transport (GO:0042998)	3	3	.42	+	7.20	2.68E-03	1.13E-02
regulation of Golgi to plasma membrane protein transport (GO:0042996)	3	3	.42	+	7.20	2.68E-03	1.13E-02
G1/S transition of mitotic cell cycle (GO:0000082)	12	11	1.67	+	6.60	3.80E-09	4.70E-08
cell cycle G1/S phase transition (GO:0044843)	12	11	1.67	+	6.60	3.80E-09	4.69E-08
determination of genital disc primordium (GO:0035225)	10	9	1.39	+	6.48	1.66E-07	1.71E-06
Bolwig's organ morphogenesis (GO:0001746)	9	8	1.25	+	6.40	1.08E-06	9.93E-06
Bolwig's organ development (GO:0055034)	9	8	1.25	+	6.40	1.08E-06	9.92E-06
compound eye retinal cell programmed cell death (GO:0046667)	9	8	1.25	+	6.40	1.08E-06	9.90E-06
neuron fate determination (GO:0048664)	9	8	1.25	+	6.40	1.08E-06	9.89E-06
eclosion rhythm (GO:0008062)	8	7	1.11	+	6.30	6.95E-06	5.64E-05
negative regulation of salivary gland boundary specification (GO:0045705)	8	7	1.11	+	6.30	6.95E-06	5.63E-05
regulation of salivary gland boundary specification (GO:0045704)	8	7	1.11	+	6.30	6.95E-06	5.63E-05
dorsal/ventral axis specification, ovarian follicular epithelium (GO:0008069)	15	13	2.08	+	6.24	5.53E-10	7.34E-09
torso signaling pathway (GO:0008293)	21	18	2.92	+	6.17	3.03E-13	5.23E-12
neuron projection regeneration (GO:0031102)	7	6	.97	+	6.17	4.40E-05	2.96E-04
second mitotic wave involved in compound eye morphogenesis (GO:0016330)	7	6	.97	+	6.17	4.40E-05	2.96E-04
cellular response to cadmium ion (GO:0071276)	7	6	.97	+	6.17	4.40E-05	2.96E-04
wing and notum subfield formation (GO:0035309)	13	11	1.81	+	6.09	2.16E-08	2.42E-07
regulation of cytokinetic process (GO:0032954)	6	5	.83	+	6.00	2.73E-04	1.52E-03
clathrin-dependent endocytosis involved in vitellogenesis (GO:0061883)	6	5	.83	+	6.00	2.73E-04	1.51E-03
positive regulation of cell cycle G1/S phase transition (GO:1902808)	6	5	.83	+	6.00	2.73E-04	1.51E-03
equator specification (GO:0045317)	6	5	.83	+	6.00	2.73E-04	1.51E-03
distributive segregation (GO:0032837)	6	5	.83	+	6.00	2.73E-04	1.51E-03
dendrite guidance (GO:0070983)	24	20	3.33	+	6.00	3.98E-14	7.44E-13
regulation of neuron projection arborization (GO:0150011)	6	5	.83	+	6.00	2.73E-04	1.51E-03
amnioserosa maintenance (GO:0046665)	6	5	.83	+	6.00	2.73E-04	1.51E-03
heart formation (GO:0060914)	6	5	.83	+	6.00	2.73E-04	1.51E-03
positive regulation of G1/S transition of mitotic cell cycle (GO:1900087)	6	5	.83	+	6.00	2.73E-04	1.51E-03
polarity specification of dorsal/ventral axis (GO:0009951)	6	5	.83	+	6.00	2.73E-04	1.51E-03
microtubule anchoring at microtubule organizing center (GO:0072393)	6	5	.83	+	6.00	2.73E-04	1.50E-03
sevenless signaling pathway (GO:0045500)	17	14	2.36	+	5.93	4.30E-10	5.87E-09
syncytial blastoderm mitotic cell cycle (GO:0035186)	17	14	2.36	+	5.93	4.30E-10	5.86E-09
terminal region determination (GO:0007362)	17	14	2.36	+	5.93	4.30E-10	5.85E-09
cellular response to BMP stimulus (GO:0071773)	11	9	1.53	+	5.89	7.99E-07	7.72E-06
response to BMP (GO:0071772)	11	9	1.53	+	5.89	7.99E-07	7.71E-06
BMP signaling pathway (GO:0030509)	11	9	1.53	+	5.89	7.99E-07	7.70E-06
cell elongation involved in imaginal disc-derived wing morphogenesis (GO:0090254)	11	9	1.53	+	5.89	7.99E-07	7.69E-06
determination of imaginal disc primordium (GO:0007445)	11	9	1.53	+	5.89	7.99E-07	7.68E-06
transforming growth factor beta receptor superfamily signaling pathway (GO:0141091)	16	13	2.22	+	5.85	2.57E-09	3.21E-08
negative regulation of phospholipase C-activating G protein-coupled receptor signaling pathway (GO:1900737)	5	4	.69	+	5.76	1.65E-03	7.73E-03
myoblast differentiation (GO:0045445)	5	4	.69	+	5.76	1.65E-03	7.73E-03
ephrin receptor signaling pathway (GO:0048013)	5	4	.69	+	5.76	1.65E-03	7.72E-03
regulation of cardioblast cell fate specification (GO:0042686)	5	4	.69	+	5.76	1.65E-03	7.72E-03
regulation of compound eye cone cell fate specification (GO:0042682)	5	4	.69	+	5.76	1.65E-03	7.71E-03
endoderm formation (GO:0001706)	5	4	.69	+	5.76	1.65E-03	7.71E-03
positive regulation of cell cycle G2/M phase transition (GO:1902751)	5	4	.69	+	5.76	1.65E-03	7.70E-03
glutamate catabolic process (GO:0006538)	5	4	.69	+	5.76	1.65E-03	7.70E-03
purine nucleobase biosynthetic process (GO:0009113)	5	4	.69	+	5.76	1.65E-03	7.69E-03
positive regulation of stem cell differentiation (GO:2000738)	5	4	.69	+	5.76	1.65E-03	7.69E-03
positive regulation of G2/M transition of mitotic cell cycle (GO:0010971)	5	4	.69	+	5.76	1.65E-03	7.68E-03
notum cell fate specification (GO:0035310)	5	4	.69	+	5.76	1.65E-03	7.68E-03
positive regulation of RNA export from nucleus (GO:0046833)	5	4	.69	+	5.76	1.65E-03	7.67E-03
genital disc sexually dimorphic development (GO:0035263)	5	4	.69	+	5.76	1.65E-03	7.67E-03
negative regulation of phospholipase C-activating phototransduction signaling pathway (GO:0016060)	5	4	.69	+	5.76	1.65E-03	7.66E-03
lamellocyte differentiation (GO:0035171)	5	4	.69	+	5.76	1.65E-03	7.66E-03
sensory neuron axon guidance (GO:0097374)	5	4	.69	+	5.76	1.65E-03	7.65E-03
maintenance of protein location in nucleus (GO:0051457)	5	4	.69	+	5.76	1.65E-03	7.65E-03
perineurial glial growth (GO:0042066)	5	4	.69	+	5.76	1.65E-03	7.64E-03
microtubule anchoring at centrosome (GO:0034454)	5	4	.69	+	5.76	1.65E-03	7.64E-03
positive regulation of nucleobase-containing compound transport (GO:0032241)	5	4	.69	+	5.76	1.65E-03	7.63E-03
regulation of cardiac cell fate specification (GO:2000043)	5	4	.69	+	5.76	1.65E-03	7.63E-03
determination of dorsal/ventral asymmetry (GO:0048262)	5	4	.69	+	5.76	1.65E-03	7.62E-03
head morphogenesis (GO:0060323)	5	4	.69	+	5.76	1.65E-03	7.62E-03
trunk segmentation (GO:0035290)	15	12	2.08	+	5.76	1.52E-08	1.73E-07
zygotic determination of anterior/posterior axis, embryo (GO:0007354)	24	19	3.33	+	5.70	1.01E-12	1.67E-11
positive regulation of wound healing (GO:0090303)	14	11	1.94	+	5.66	8.80E-08	9.26E-07
behavioral response to cocaine (GO:0048148)	9	7	1.25	+	5.60	2.75E-05	1.93E-04
cell surface receptor protein serine/threonine kinase signaling pathway (GO:0007178)	18	14	2.50	+	5.60	1.69E-09	2.14E-08
microtubule anchoring (GO:0034453)	9	7	1.25	+	5.60	2.75E-05	1.93E-04
ommatidial rotation (GO:0016318)	31	24	4.31	+	5.57	2.30E-15	4.76E-14
compound eye pigmentation (GO:0048072)	13	10	1.81	+	5.54	5.02E-07	4.99E-06
R7 cell fate commitment (GO:0007465)	25	19	3.47	+	5.47	3.65E-12	5.80E-11
regulation of vascular endothelial growth factor receptor signaling pathway (GO:0030947)	8	6	1.11	+	5.40	1.55E-04	9.36E-04
vitellogenesis (GO:0007296)	8	6	1.11	+	5.40	1.55E-04	9.36E-04
spermatid nucleus elongation (GO:0007290)	4	3	.56	+	5.40	9.59E-03	3.56E-02
pole cell fate determination (GO:0007278)	4	3	.56	+	5.40	9.59E-03	3.56E-02
adenylate cyclase-activating dopamine receptor signaling pathway (GO:0007191)	4	3	.56	+	5.40	9.59E-03	3.56E-02
anterior/posterior lineage restriction, imaginal disc (GO:0048099)	4	3	.56	+	5.40	9.59E-03	3.55E-02
phosphatidylinositol-mediated signaling (GO:0048015)	8	6	1.11	+	5.40	1.55E-04	9.35E-04
activin receptor signaling pathway (GO:0032924)	8	6	1.11	+	5.40	1.55E-04	9.34E-04
defense response to insect (GO:0002213)	8	6	1.11	+	5.40	1.55E-04	9.33E-04
female germ-line sex determination (GO:0019099)	4	3	.56	+	5.40	9.59E-03	3.55E-02
cell cycle comprising mitosis without cytokinesis (GO:0033301)	20	15	2.78	+	5.40	1.03E-09	1.33E-08
axon regeneration (GO:0031103)	4	3	.56	+	5.40	9.59E-03	3.55E-02
imaginal disc-derived leg joint morphogenesis (GO:0016348)	12	9	1.67	+	5.40	2.80E-06	2.44E-05
female meiosis chromosome segregation (GO:0016321)	16	12	2.22	+	5.40	5.29E-08	5.71E-07
ATP transport (GO:0015867)	4	3	.56	+	5.40	9.59E-03	3.55E-02
negative regulation of response to gamma radiation (GO:2001229)	4	3	.56	+	5.40	9.59E-03	3.55E-02
regulation of response to gamma radiation (GO:2001228)	4	3	.56	+	5.40	9.59E-03	3.54E-02
negative regulation of cardioblast differentiation (GO:0051892)	4	3	.56	+	5.40	9.59E-03	3.54E-02
modulation by host of symbiont process (GO:0051851)	4	3	.56	+	5.40	9.59E-03	3.54E-02
glandular epithelial cell differentiation (GO:0002067)	8	6	1.11	+	5.40	1.55E-04	9.33E-04
chorion micropyle formation (GO:0046844)	4	3	.56	+	5.40	9.59E-03	3.54E-02
regulation of protein export from nucleus (GO:0046825)	4	3	.56	+	5.40	9.59E-03	3.54E-02
negative regulation of cardiocyte differentiation (GO:1905208)	4	3	.56	+	5.40	9.59E-03	3.54E-02
dopamine biosynthetic process (GO:0042416)	4	3	.56	+	5.40	9.59E-03	3.53E-02
regulation of early endosome to late endosome transport (GO:2000641)	4	3	.56	+	5.40	9.59E-03	3.53E-02
female gonad development (GO:0008585)	12	9	1.67	+	5.40	2.80E-06	2.43E-05
regulation of Malpighian tubule size (GO:0035298)	4	3	.56	+	5.40	9.59E-03	3.53E-02
biological process involved in interaction with symbiont (GO:0051702)	4	3	.56	+	5.40	9.59E-03	3.53E-02
genital disc anterior/posterior pattern formation (GO:0035224)	8	6	1.11	+	5.40	1.55E-04	9.32E-04
genital disc pattern formation (GO:0035221)	8	6	1.11	+	5.40	1.55E-04	9.31E-04
labial disc development (GO:0035217)	4	3	.56	+	5.40	9.59E-03	3.53E-02
cellular response to metal ion (GO:0071248)	8	6	1.11	+	5.40	1.55E-04	9.30E-04
cellular response to lipopolysaccharide (GO:0071222)	4	3	.56	+	5.40	9.59E-03	3.53E-02
mitotic cytokinesis, division site positioning (GO:1902408)	4	3	.56	+	5.40	9.59E-03	3.52E-02
response to cadmium ion (GO:0046686)	8	6	1.11	+	5.40	1.55E-04	9.30E-04
response to arsenic-containing substance (GO:0046685)	8	6	1.11	+	5.40	1.55E-04	9.29E-04
cardiac cell fate commitment (GO:0060911)	12	9	1.67	+	5.40	2.80E-06	2.43E-05
regulation of development, heterochronic (GO:0040034)	12	9	1.67	+	5.40	2.80E-06	2.43E-05
'de novo' IMP biosynthetic process (GO:0006189)	4	3	.56	+	5.40	9.59E-03	3.52E-02
cell adhesion involved in heart morphogenesis (GO:0061343)	12	9	1.67	+	5.40	2.80E-06	2.42E-05
positive regulation of lipophagy (GO:1904504)	4	3	.56	+	5.40	9.59E-03	3.52E-02
pteridine metabolic process (GO:0019889)	4	3	.56	+	5.40	9.59E-03	3.52E-02
citrate metabolic process (GO:0006101)	4	3	.56	+	5.40	9.59E-03	3.52E-02
development of primary female sexual characteristics (GO:0046545)	12	9	1.67	+	5.40	2.80E-06	2.42E-05
neuron apoptotic process (GO:0051402)	4	3	.56	+	5.40	9.59E-03	3.51E-02
negative regulation of cardioblast cell fate specification (GO:0009997)	4	3	.56	+	5.40	9.59E-03	3.51E-02
sprouting of injured axon (GO:0048682)	4	3	.56	+	5.40	9.59E-03	3.51E-02
establishment or maintenance of cytoskeleton polarity involved in gastrulation (GO:0003380)	4	3	.56	+	5.40	9.59E-03	3.51E-02
establishment of cell polarity involved in gastrulation cell migration (GO:0003379)	4	3	.56	+	5.40	9.59E-03	3.51E-02
establishment or maintenance of cytoskeleton polarity involved in ameboidal cell migration (GO:0003371)	4	3	.56	+	5.40	9.59E-03	3.51E-02
establishment of cell polarity involved in ameboidal cell migration (GO:0003365)	4	3	.56	+	5.40	9.59E-03	3.50E-02
glial cell growth (GO:0042065)	8	6	1.11	+	5.40	1.55E-04	9.28E-04
dense core granule localization (GO:0032253)	4	3	.56	+	5.40	9.59E-03	3.50E-02
positive regulation of mitotic cell cycle, embryonic (GO:0045977)	4	3	.56	+	5.40	9.59E-03	3.50E-02
attachment of mitotic spindle microtubules to kinetochore (GO:0051315)	4	3	.56	+	5.40	9.59E-03	3.50E-02
nuclear-transcribed mRNA catabolic process, non-stop decay (GO:0070481)	4	3	.56	+	5.40	9.59E-03	3.50E-02
ectodermal digestive tract morphogenesis (GO:0048567)	8	6	1.11	+	5.40	1.55E-04	9.27E-04
negative regulation of neural precursor cell proliferation (GO:2000178)	20	15	2.78	+	5.40	1.03E-09	1.33E-08
negative regulation of sevenless signaling pathway (GO:0045873)	4	3	.56	+	5.40	9.59E-03	3.50E-02
male germline stem cell symmetric division (GO:0098730)	4	3	.56	+	5.40	9.59E-03	3.49E-02
germline stem cell symmetric division (GO:0098729)	4	3	.56	+	5.40	9.59E-03	3.49E-02
cell fate specification involved in pattern specification (GO:0060573)	8	6	1.11	+	5.40	1.55E-04	9.26E-04
outflow tract morphogenesis (GO:0003151)	4	3	.56	+	5.40	9.59E-03	3.49E-02
gonadal mesoderm development (GO:0007506)	8	6	1.11	+	5.40	1.55E-04	9.26E-04
negative regulation of cardiac cell fate specification (GO:2000044)	4	3	.56	+	5.40	9.59E-03	3.49E-02
progression of morphogenetic furrow involved in compound eye morphogenesis (GO:0007458)	8	6	1.11	+	5.40	1.55E-04	9.25E-04
ectodermal digestive tract development (GO:0007439)	8	6	1.11	+	5.40	1.55E-04	9.24E-04
defasciculation of motor neuron axon (GO:0007415)	8	6	1.11	+	5.40	1.55E-04	9.23E-04
axonal defasciculation (GO:0007414)	12	9	1.67	+	5.40	2.80E-06	2.42E-05
negative regulation of neuroblast proliferation (GO:0007406)	20	15	2.78	+	5.40	1.03E-09	1.33E-08
negative regulation of compound eye photoreceptor cell differentiation (GO:0110118)	8	6	1.11	+	5.40	1.55E-04	9.23E-04
regulation of imaginal disc-derived wing vein specification (GO:0110107)	4	3	.56	+	5.40	9.59E-03	3.49E-02
enteroendocrine cell differentiation (GO:0035883)	8	6	1.11	+	5.40	1.55E-04	9.22E-04
regulation of plasmatocyte differentiation (GO:0045613)	4	3	.56	+	5.40	9.59E-03	3.49E-02
SMAD protein signal transduction (GO:0060395)	4	3	.56	+	5.40	9.59E-03	3.48E-02
ectoderm development (GO:0007398)	16	12	2.22	+	5.40	5.29E-08	5.70E-07
specification of segmental identity, abdomen (GO:0007385)	4	3	.56	+	5.40	9.59E-03	3.48E-02
posterior midgut invagination (GO:0007374)	4	3	.56	+	5.40	9.59E-03	3.48E-02
negative regulation of oskar mRNA translation (GO:0007319)	8	6	1.11	+	5.40	1.55E-04	9.21E-04
imaginal disc-derived leg segmentation (GO:0036011)	23	17	3.20	+	5.32	1.10E-10	1.58E-09
appendage segmentation (GO:0035285)	23	17	3.20	+	5.32	1.10E-10	1.58E-09
female sex differentiation (GO:0046660)	23	17	3.20	+	5.32	1.10E-10	1.58E-09
neuron fate specification (GO:0048665)	30	22	4.17	+	5.28	2.36E-13	4.11E-12
oenocyte differentiation (GO:0001742)	11	8	1.53	+	5.24	1.53E-05	1.14E-04
cell cycle G2/M phase transition (GO:0044839)	11	8	1.53	+	5.24	1.53E-05	1.14E-04
double-strand break repair via synthesis-dependent strand annealing (GO:0045003)	11	8	1.53	+	5.24	1.53E-05	1.14E-04
epithelial cell proliferation involved in renal tubule morphogenesis (GO:2001013)	11	8	1.53	+	5.24	1.53E-05	1.14E-04
chorion-containing eggshell pattern formation (GO:0030381)	11	8	1.53	+	5.24	1.53E-05	1.13E-04
retinal cell programmed cell death (GO:0046666)	11	8	1.53	+	5.24	1.53E-05	1.13E-04
epithelial cell proliferation involved in Malpighian tubule morphogenesis (GO:0061331)	11	8	1.53	+	5.24	1.53E-05	1.13E-04
photoreceptor cell fate specification (GO:0043704)	22	16	3.06	+	5.24	5.91E-10	7.78E-09
epithelial cell proliferation (GO:0050673)	11	8	1.53	+	5.24	1.53E-05	1.13E-04
salivary gland boundary specification (GO:0007432)	11	8	1.53	+	5.24	1.53E-05	1.13E-04
response to fibroblast growth factor (GO:0071774)	18	13	2.50	+	5.20	2.99E-08	3.30E-07
fibroblast growth factor receptor signaling pathway (GO:0008543)	18	13	2.50	+	5.20	2.99E-08	3.30E-07
cellular response to fibroblast growth factor stimulus (GO:0044344)	18	13	2.50	+	5.20	2.99E-08	3.29E-07
regulation of pole plasm oskar mRNA localization (GO:0007317)	25	18	3.47	+	5.18	6.26E-11	9.13E-10
negative regulation of vascular endothelial growth factor receptor signaling pathway (GO:0030948)	7	5	.97	+	5.14	8.47E-04	4.24E-03
regulation of short-term neuronal synaptic plasticity (GO:0048172)	7	5	.97	+	5.14	8.47E-04	4.24E-03
semaphorin-plexin signaling pathway (GO:0071526)	7	5	.97	+	5.14	8.47E-04	4.23E-03
morphogenesis of larval imaginal disc epithelium (GO:0016335)	7	5	.97	+	5.14	8.47E-04	4.23E-03
specification of segmental identity, trunk (GO:0035292)	7	5	.97	+	5.14	8.47E-04	4.23E-03
haltere disc development (GO:0035216)	14	10	1.94	+	5.14	1.54E-06	1.39E-05
DNA topological change (GO:0006265)	7	5	.97	+	5.14	8.47E-04	4.22E-03
syncytial nuclear migration (GO:0035190)	7	5	.97	+	5.14	8.47E-04	4.22E-03
lymph gland plasmatocyte differentiation (GO:0035169)	7	5	.97	+	5.14	8.47E-04	4.22E-03
negative regulation of compound eye retinal cell programmed cell death (GO:0046673)	7	5	.97	+	5.14	8.47E-04	4.22E-03
negative regulation of retinal cell programmed cell death (GO:0046671)	7	5	.97	+	5.14	8.47E-04	4.21E-03
regulation of cell proliferation involved in compound eye morphogenesis (GO:2000495)	7	5	.97	+	5.14	8.47E-04	4.21E-03
symmetric cell division (GO:0098725)	7	5	.97	+	5.14	8.47E-04	4.21E-03
morphogenesis of an epithelial fold (GO:0060571)	7	5	.97	+	5.14	8.47E-04	4.20E-03
hemocyte development (GO:0007516)	7	5	.97	+	5.14	8.47E-04	4.20E-03
RNA polymerase II preinitiation complex assembly (GO:0051123)	14	10	1.94	+	5.14	1.54E-06	1.39E-05
negative regulation of R7 cell differentiation (GO:0045677)	7	5	.97	+	5.14	8.47E-04	4.20E-03
compartment pattern specification (GO:0007386)	7	5	.97	+	5.14	8.47E-04	4.20E-03
oocyte nucleus migration involved in oocyte dorsal/ventral axis specification (GO:0007312)	7	5	.97	+	5.14	8.47E-04	4.19E-03
epidermal growth factor receptor signaling pathway (GO:0007173)	24	17	3.33	+	5.10	3.28E-10	4.50E-09
ERBB signaling pathway (GO:0038127)	24	17	3.33	+	5.10	3.28E-10	4.50E-09
microtubule organizing center localization (GO:0061842)	17	12	2.36	+	5.08	1.57E-07	1.63E-06
centrosome localization (GO:0051642)	17	12	2.36	+	5.08	1.57E-07	1.62E-06
tracheal outgrowth, open tracheal system (GO:0007426)	17	12	2.36	+	5.08	1.57E-07	1.62E-06
renal tubule morphogenesis (GO:0061333)	44	31	6.11	+	5.07	1.76E-17	4.25E-16
Malpighian tubule morphogenesis (GO:0007443)	44	31	6.11	+	5.07	1.76E-17	4.24E-16
mitotic cell cycle, embryonic (GO:0045448)	27	19	3.75	+	5.07	3.46E-11	5.16E-10
R8 cell fate specification (GO:0045464)	20	14	2.78	+	5.04	1.62E-08	1.84E-07
insect visual primordium development (GO:0001748)	10	7	1.39	+	5.04	8.06E-05	5.14E-04
pseudocleavage involved in syncytial blastoderm formation (GO:0030589)	10	7	1.39	+	5.04	8.06E-05	5.14E-04
pseudocleavage (GO:0030588)	10	7	1.39	+	5.04	8.06E-05	5.14E-04
basal protein localization (GO:0045175)	10	7	1.39	+	5.04	8.06E-05	5.13E-04
polytene chromosome puffing (GO:0035079)	10	7	1.39	+	5.04	8.06E-05	5.13E-04
somatic stem cell population maintenance (GO:0035019)	20	14	2.78	+	5.04	1.62E-08	1.84E-07
neuronal stem cell population maintenance (GO:0097150)	10	7	1.39	+	5.04	8.06E-05	5.12E-04
embryonic hindgut morphogenesis (GO:0048619)	50	35	6.95	+	5.04	2.01E-19	5.25E-18
regulation of epithelial cell migration, open tracheal system (GO:2000274)	10	7	1.39	+	5.04	8.06E-05	5.12E-04
cell dedifferentiation (GO:0043697)	10	7	1.39	+	5.04	8.06E-05	5.11E-04
dedifferentiation (GO:0043696)	10	7	1.39	+	5.04	8.06E-05	5.11E-04
neuroblast fate determination (GO:0007400)	20	14	2.78	+	5.04	1.62E-08	1.84E-07
